,change,date,game
10,added normal mapping to custom paint job patina and gunsmith paint styles upgraded cz75 auto  victoria to use normal mapping fixed incorrect round number in weapons expert lobby description fixed a weapons purchase exploit in weapons expert fixed scoreboard rows sometimes displaying local players rank on other rows fixed regressions related to having a gamepad plugged in fixed a regression in nearby guardian lobbies mission names nav mesh location will now correctly update on hud for spectators or gotv viewers using the target observed players location if bomb icon shows under radar then spectators and gotv viewers will correctly display the bomb icon under radar when observing the bomb carrier added convar sv record item time data which adds player weapon usage data to server logs,2017-06-08,csgo
11,added listing of some gamemodes in twitchtv csgo header in addition to maps fixed various bugs added hydra competitive rank display to lobbies  nearby lobby display for hydra modes flying scoutsman increase sv airaccelerate from 477 to 20000 stab stab zap replaced dust2 with shorttrain fixed fade to black bug in deathmatch on cs insertion updated de shipped to latest version from mapmakers fixed a regression in lighting for old community maps that interacted badly with new lighting features  newer maps with lighting problems can be fixed by recompiling them in hammer added player clipping above boxes at ct spawn in de shortdust to prevent visibility in unintended areas added more back end ui work in preparation for panorama switch  please report any new ui bugs to csgoteamfeedbackvalvesoftwarecom fixed tickrate dependence in spray patterns for fast firing weapons  thanks slothsquadron  friends fixed incorrect skin tones on some player gloves fixeded a bug where 2v2 scoreboard would show round win icons for the first half on the wrong side after halftime updated operation hydra gamemode names used in rich presence,2017-06-06,csgo
12,wingman mode now has 5 minute warmup which shortens to 1 minute after all players connect insertion timeout bug fixed black gold various bug fixes shortdust fixes for wingman games st marc fixes for wingman games added support to filter nearby public lobbies for guardian and wingman game modes added a modal lobbies lister that can be accessed from the mission panel and the guardian campaign map fixed a bug that caused the server to not animate heavy assault suit players properly when using knives,2017-05-30,csgo
13,guardian lobbies will now show full mission name in the nearby public lobbies list and game invites updated guardian warning sound rules for players too far from the bomb site and lowered volume of warning sound fixed a bug where sometimes 9 players could join same team in war games fixed offline with bots games not starting correctly after playing war games online when the daily war games map rotation happens servers will no longer shut down but will instead seamlessly rotate to the new map group fixed a potential exploit in csgo engine reported by one up security,2017-05-26,csgo
14,enabled friends competitive leaderboards scorecards hydra campaign guardian missions and war games event xp support on perfect world official servers prevent procedural placement of spawn points in locations where players would be stuck war games maps now change every day fix a bug where suicides could sometimes count towards the objective in guardian missions fix a bug in any pistol guardian missions that prevented cz75 auto kills from counting towards the objective fixed a bug where guardian journal would show wrong target kill amounts on certain missions fixed a bug that caused players to not be able to buy between waves in extremely long guardian rounds fixed numbering of players in competitive spectator hud to have increasing numbers from top to bottom for both teams fixed max round loss bonus regression rialto added npc clips to prevent bots falling in the water,2017-05-24,csgo
15,operation hydra events  unique game modes that are available for a week at a time war games a set of twists on classic gameplay including a special heavy armor low gravity sniping team deathmatch and more wingman 2v2 competitive match on single bombsite maps a quick best of 16 rounds and a special wingman skill group weapons expert once you buy a weapon you cant buy it again for the rest of the match 5v5 best of 30 match with a special weapons expert skill group four new and three returning community created maps featured in weekly hydra events and available in regular matchmaking for casual and competitive play austria shipped lite thrill agency insertion black gold operation hydra all access pass 599 includes guardian mission campaign with 30 missions that can be completed and replayed at your own pace access to operation weapon drops and the new operation hydra case operation hydra challenge coin upgradable to the new diamond level operation hydra journal that tracks your stats and provides friends leaderboards increased fidelity of 3rd person weapon sounds when hrtf is enabled made minor mix adjustments reduced the ump45 damage at range to bring the weapon more in line with the smg category rangemodifier reduced from 85 to 75 players no longer respawn when upgrading to a bonus weapon in deathmatch added support for hostage maps in demolition for localcommunity servers improved radar spotting when mp teammates are enemies is enabled made zeus show in pistol holster for players with a zeus and no pistol fixed bullets not penetrating teammates when mp teammates are enemies is enabled thanks alh r changed sv disable motd default changed to 1 changed convar mp free armor settings 0  none 1  kevlar 2  kevlar  helmet tweaked layouts of the following maps to better fit war games and wingman safehouse stmarc lake and bank canals moved ct spawn forward added a bench at a for easier t access fixed clip brushes poking through top flight of tunnel stairs added clips to some lamp posts where player could get stuck adjusted fade distances on some props fixed visible nodraw seen from arch rialto added new map for guardian and 2vs2 mode dizzy added new map for flying scoutsman mode,2017-05-23,csgo
16,expanded the official datacenter in south africa fixed a regression where the game couldnt start on windows xp added game state integration output for timeouts and match pause added game state integration output for the bomb defuse countdown server ban list filter is now enforced in early stages of client connection packet handling,2017-05-18,csgo
17,fixed a bug that caused knife swings to do reduced damage in the 04 seconds after their deploy animation finished as if you had just taken a swing sorry snax fixed snd legacy surround settings fixed round start music continuing to play if player walked out of buy zone http logger now includes server token header and precise time on log lines fixed a regression in command routing code to automatically allow cheat protected commands on cheat enabled servers marked  snd playsounds command as cheat whitelisted aboutblank url for motd upgraded windows compile toolchain for windows client and dedicated server binaries fixed long standing issue with lightstyles and dynamic shadow blending  they are now compatible with csms and can be used in maps localization update for various ui elements localization updates for several in game textures and weapons course map added purchasing flow using perfect world balance,2017-05-12,csgo
18,fixed a regression in csgo sdk launcher note that in order to build cubemaps csgo must be launched with the  insecure flag fixed several exploits related to concommand execution on game server server operators can enable sv allow legacy cmd execution from client for old behavior,2017-05-03,csgo
19,the csgo executable and dll binaries are now digitally signed this allows for better integration with antivirus software and for game integrity checking mismatching signatures or running the game with the  insecure flag allows the game to load unsigned modules but prevents connecting to vac secure servers the steam client will validate and enforce csgoexes digital signature at launch fixed a rare case when users ui could lose prime account status observed by some users staying logged in across weekly maintenance time period fixed a rare case where ui would incorrectly show a cheating conviction cooldown when a minorly disruptive cooldown was nearing its expiration fixed mp3 music playback on linux added a new command logaddress add http to deliver server log reliably to the specified endpoint over http post subscribers must return http 200 ok code to acknowledge buffer of log lines and advance to the next section of the log newly added subscribers will always get the log from the very beginning and existing subscribers can request to restart log delivery from the very beginning by returning http 205 reset content code subscribers can return http 410 gone code to unsubscribe from log delivery server must be logging to disk to use this feature integrated the latest version of blocked words database updated texture of p90  grim for perfect world version,2017-05-02,csgo
20,added ability to send friend requests using csgo friend codes for perfect world beta accounts that had their identity verified added support for csgo community chat in perfect world launcher added support for csgo url handling to inspect csgo items download match demos and join parties in perfect world launcher fixed missing content for crown sticker and blitz kids music kit fixed arms race configuration on shanghai and guangzhou official servers other ui and content fixes for perfect world beta players added ability to invite a recently played with player to your party even without being friends with them headshot dink sound is no longer audible at a very long distance except for the player who scored the headshot motd custom urls are now restricted to http and https protocols only,2017-04-25,csgo
21,ui and localization fixes for perfect world beta disabled holiday cheer fixed some exploits related to packet loss unified deploy duration for all knives to be exactly 10 seconds militia added path near ct spawn that connects to sewer and barn tweaked lighting throughout map cbble tweaked sightline in connector between underpass and long a fixed various minor bugs canals rebuilt tunnel stairs area with smoother movement fixed boat geometry overlapping a pier at ct spawn fixed box intersecting windowsill at b fixed pixelwalk on railing at ct spawn moved plywood down on scaffolding below b to block a bad sightline fixed sticky scaffolding clip brush below b fixed some fade distance pop up issues added two picnic chairs at short and made clips smoother removed lamp at ivygarbage,2017-04-20,csgo
22,added holiday cheer for a limited time the negev and r8 revolver are available in competitive matchmaking r8 revolver price reduced to 700 negev price reduced to 2000 as a starting point to promote experimentation with the weapon volume now decays smoothly over distance instead of by discrete steps adjusted hrtf audio mix to more closely match sound quality without hrtf added snd hrtf distance behind default 100 which allows hrtf to more closely match the perceived direction of a sound source as seen by the actual player behind a monitor fixed a bug where music volume would be set to the maximum level while accepting a lobby invitation added support for official game servers in guangzhou and shanghai for the perfect world csgo beta added team id option always on wequipment to game settings spectators can now use overhead equipment display fixed overhead equipment display not updating in some cases fixed orientation of stickers on dropped weapons adding game state integration output for use by tournament organizers new output for player equipment value with log level 3 showing the observer slot for each player and adding a new phasecountdowns feed for timing the end of warmupfreezetimeround ends,2017-04-12,csgo
23,when inspecting in game items from users own inventory from other users inventories and from community market players can now see an official item certificate that includes finish style finish catalog number pattern template and wear rating adjusted the nearby lobbies search algorithm in addition to geographic proximity by distance to include more results from the same country as the searching user providing more relevant results for players living near borders canals fixed gap in bomb site b wall fixed missing texture in bridge visible from arch fixed overlapping geometry at a site fixed a few places near t spawn where bomb could get stuck increased fade distances on some props that were distracting adjusted wall geometry in prison stairs to fix lighting glitch increased lightmap grid resolution in prison lobby added a piece of cardboard under new toolbox at b to block glitchy sightline removed one of the picnic tables at short fixed pixelwalk in shoe shop fixed errant clip brush on balcony made it more difficult to climb the wood sign to b from boost trimmed top corners of courtyard building facing the stairs fixed nav file where lamp posts were removed adjusted balcony arch prop to fix gaps militia moved up ct spawns and hostage rescue zone blocked off river and area around old ct spawn shortened underground tunnel now exits into garage new hostage spawn positions removed position from small house in yard hostages will always spawn one on upper floor and one on lower floor of main housegarage opened up house near silos can now use door to enterexit instead of window only added some cover near tunnel exit in yard moved terrorist spawn area to balcony at back of house added cover in long range areas fixed several boostsexploits smoothed out movement in general,2017-03-29,csgo
24,revolver and negev have been removed from competitive matchmaking as they undergo substantial revision revolver firing delay significantly reduced negev new attributes to promote suppressive fire reduced price new sounds that dynamically indicate weapon accuracy added ability to add friends using csgo friend codes added recent teammates and invites ui on the main menu gotv connections will now use sdr in most of the regions fixed missing texture on huntsman knife  ultraviolet added convar mp items prohibited which takes a comma delimited list of weapon definition indices to prohibit from purchase on the server lowered volume of ambient sound in de vertigo to match ambient volume of other maps fixed several osx graphics crashes related to running out of vertex shader constants fixed a game crash related to game stats canals fixed more pixelwalk spots  places where bomb could get stuck fixed sticky clip brush at b fixed z fighting railing at bridge fixed visible nodraw underneath a bridge improved clipping under t side bridges fixed z fighting below ct arches adjusted courtyard statues and stairs for better movement fixed various fade distance issues widened b site and palace doors aligned palace windows better fixed floating clothesline adjusted pecklesteiner fixed missing texture at back alley removed clip from garden lamp post because its at jumping height prevented planting bomb on railing at a removed lamp posts between a and ct spawn,2017-03-24,csgo
25,fixes related to recent shader rework cache fix for vent break sound canals fixed more pixelwalk exploits fixed places where a droppedthrown bomb could get stuck fixed a bug at shop door where jumping player could get stuck,2017-03-20,csgo
26,added new server log lines for the end of freezetime and blind players with mp logdetail set to 3 will now also spew player equipment when they leave the buy zone shader rework to provide better lighting and support various features nuke made corner piece of outside catwalk solid assault fixed various exploits and boosts fixed bug where players outside could spot players inside vents canals fixed visible nodraw below ct bridge fixed several places where the bomb could get stuck if thrown fixed pixelwalk and skywalk exploits fixed sticky dm spawn point in tunnels fixed planting bomb on windowsill at b fixed missing collision on toolbox at back of b,2017-03-17,csgo
27,released canals available in all game modes visually upgraded the phoenix terrorist player model added the spectrum case featuring 17 community designs in the spectrum case the rare special item will be the second generation of knives in chroma finishes improved performance when using hrtf fixed some cases where grenade sounds wouldnt play when they should fixed teammate color problem when teammates select an invalid color cl drawhud force radar can have three values  1 to force draw no radar 0 default 1 to force draw radar even if other hud is disabled cl drawhud force deathnotices can have three values  1 to force draw no deathnotices 0 default 1 to force draw deathnotices even if other hud is disabled added option to game settings to set team id to always on  cl teamid overhead always  server can disable with sv teamid overhead always prohibit added binding to show team equipment  cl show team equipment  that will show teammates full target id including equipment server can disable with sv show team equipment prohibit func rotating objects no longer freeze and spam server console after rotating 1000 times nuke thinned out corner when coming into hut from lobby making it easier to peek into a site bullets now do more damage when shot through walls in hut raised rollup door in mini making it easier to see towards rafters removed three boxes on top of blue container near garage reduced c4 explosion radius from 500 to 400 units thanks navi made water outside the map deeper thanks hollandje cobblestone raised arch on ct side of long a italy fixed some boost exploits railing on top of boost position near t bridge no longer blocks bullets cache various bug fixes,2017-03-15,csgo
28,fixed helmet and armor icons of teammates not showing for dead players fixed several client and game server crashes fixed several missing achievement icons,2017-02-16,csgo
29,reduced per client memory use by sharing network buffers increased entities delta buffers to 192kb to support connecting to game modes with many entities sv delta entity full buffer size on the server can be used to increase it up to 256kb if needed added a better error message for clients explaining the too many entities on the server error added more functionality for community log address integration log address can now be sent an 18 character prefix before every log packet text logaddress add ex command will use a unique prefix token per instance for the added log address logaddress token secret and logaddress add ts allow to add prefix as a checksum of known secret string added a message for killed by the bomb to the logs teams can now vote on team issues independently fixed sleeves interpenetrating gloves spectators player glow values have been adjusted to make noise making state transitions more noticeable fixed csm boundary artifacts on iris based macbook pro overpass added grenade clip to ceiling underneath bombsite a and inside connector to prevent molotovs spreading into areas above cobblestone removed support beam in drop room which blocked line of sight to dropdoor nuke fixed see through gap when jump peeking from ct spawn towards mini fixed various bugs reported on csgobugtrackercom cache fixed model fade distance on truck in ct spawn,2017-02-14,csgo
30,replaced dust ii with inferno in the active duty group created a separate dust ii map group for casual and deathmatch game modes separated reserves group into reserves group and hostage group by default players can now apply graffiti quickly by pressing and releasing the graffiti menu key this can be disabled from the graffiti menu via checkbox to alleviate any initial confusion from this change we added one extra charge to all unsealed graffiti optimized water materials used in inferno nuke and aztec maps added convars mp teamscore max mp teamscore 1 mp teamscore 2 to display best of n maps series in the spectator ui dust2 fixed various spots where c4 could get stuck cobblestone made cubby near bottom of platform stairs in bombsite b deeper smoothed out movement around b ramp and dropdown room fixed various spots where c4 could get stuck thanks residents evil fixed some surfaces playing the wrong footstep sounds overpass fixed various spots where c4 could get stuck thanks kame942 ground in ct spawn now displays decals correctly fixed some surfaces playing the wrong footstep sounds train fixed various spots where c4 could get stuck,2017-02-03,csgo
31,added countdown in the main menu that shows the time till the active stage picks will be locked fixed a bug in the watch tab match lister match data should now auto refresh after the client downloads the match data fixed a bug where http 200 ok was not returned for a successfully completed request to uploadtournamentpredictions when clearing a pick fixed a regression for steam help site to correctly localize information about pickem authentication codes added a command line flag  ip relay for gotv relays behind nats to communicate their relay public address to master added mp logmoney setting to output player money and purchases in server logs added a convar mp halftime pausematch which will pause the match after halftime intermission added a log line saying game over after the last round of the match has been completed hrtf now works correctly on older versions of osx,2017-01-19,csgo
32,team stickers stickers autographed by professional csgo players and all new team graffiti are available for purchase in game and from the steam community market with 50 of the proceeds going to players and organizations for more details visit httpwwwcounter strikenetpickematlanta2017 team stickers can be used as game pieces for the atlanta 2017 team pickem challenge group stage picks can be made immediately playoff picks can be made when the group stage has completed group stage picks lock at the start of the group stage matches playoff picks lock at the start of the first playoff matches players killed during grenade throwing animation will no longer drop a duplicate grenade if that grenade has already been thrown func breakables will no longer make noise when hits deal no damage added a server setting sv steamauth enforce to allow tournament organizers for lan events to delay player kick due to no steam logon client issue until the end of a live round when tournament match will automatically pause and a round backup with all correct information will be saved for reconnect lowered volume of bullet bys and bullet impacts changed default weapon nearfar crossfade max distance so that a slight perceived volume bump doesnt happen at crossfade junctions also lowered volume of distant weapons slightly to address the same issue slightly increased the min distance of the falloff so that 3rd parties can hear max volume at about 1m away from shooter increased the input curve amount so that rate of volume decay over distance is more pronounced added descriptions to many mixer groups mirage fixed various spots where c4 could get stuck removed some slight gaps in cover in bombsite a nuke fixed bug where jumping inside of toxic in bombsite b would clip the playermodel through the ceiling removed vent sound from top of mini bombsite a cache fixed sound spam when shooting at vent in checkers through a prop clipping improvements optimizations inferno fixed some minor graphical bugs fixed a spot where players could get stuck near boiler bombsite a added backfaces to gate used at bottom of banana bombsite b,2017-01-12,csgo
33,fixed non solid parts of sas counter terrorist models fixed rendering issues with new character footstep shadows,2016-12-14,csgo
34,visually upgraded the sas counter terrorist player model new c4 beep sound for increased sound positioning with hrtf fixed issue where some sounds were muffled as a result of upsampling for hrtf compliance added option to audio settings to enabledisable hrtf on osx reduced latency of hrtf improved algorithm and performance of public lobbies discovery updated radar map for nuke,2016-12-13,csgo
35,fix to directionality issues when using headphones with hrtf sounds now spatialize correctly when looking up or down fix to sound distortion on some weapons improved rendering performance on intel gpu systems improved performance for some osx users,2016-12-08,csgo
36,deployed holiday cheer for your festive fragging season you can spread the holiday cheer gifts are now available for a limited time added new audio option that enables head related transfer function hrtf processing on in game sounds the goal is to vastly improve 360 degree vertical and horizontal sound positioning by default speaker configuration in audio settings has been set to headphones with hrtf selecting an alternative speaker configuration will disable hrtf note for an optimal experience with hrtf we recommend turning off any external 51 or 71 surround audio driver options in the friends panel steam groups have been renamed to public lobbies the public lobbies tab now shows nearby public lobbies and suggested steam group lobbies in addition to your steam group lobbies lobbies now support broadcasting to nearby players  players can use this setting for friend or steam group lobbies steam group lobbies now display the country associated with the majority of lobby members third person weapon angles now visibly match first person weapon recoil fixed 5 year veteran coin to be granted to accounts that cancelled and later reactivated their old counter strike license after they restart their csgo client loading screen tokens can now be localized when loading overwatch evidence or maps created by community members bot names can now be localized in game language added experimental plugin support for managing network channel encryption keys on community servers httpsdevelopervalvesoftwarecomwikicounter strike global offensive network channel encryption nuke removed railing on crane in a site rafters removed ability to climb up onplant the bomb on top of silos in both bombsites moved t entrance to squeaky to make movement smoother removed window in toxic replaced with double doors removed yellow bollards near garage and secret removed cover on top of mini added some full cover in cubby next to ramp in bombsite b replaced exposed bombsite silo with simple version in bombsite a fixed small collision bump on ramp in ramproom where players could get stuck added white flat surface on fence at t side of yard fixed various bugs listed on csgobugtrackercom thanks to all contributors general optimizations,2016-12-07,csgo
37,fixed a problem equipping music kits sprays and flair items fixed friends list not scrolling correctly when only one page of friends is visible fixed a crash encountered while minimizing the game while in full screen mode fixed an issue where some ui sounds would play very quietly when the player is dead fixed ragdolls sometimes having incorrect gloves after killer replay removed barrels from dust2 radar fixed market images for some weapons from the glove collection,2016-11-29,csgo
38,introducing the glove case featuring 17 community designed weapon finishes unlike previous cases the possible special items in the glove case are 24 all new gloves for more details click here introducing the radicals music box featuring 7 new stattrak music kits from radicals artists players can now join lobbies created by members of their steam groups for details visit the steam group lobby faq added the steam groups tab in the friend lister on the main menu by default if you click play with friends and are displaying the tag of one of your steam groups your lobby will be broadcast to and joinable by members of that steam group you can adjust your default lobby settings in the game settings menu looking for players from your region or who share a common interest you can search for new steam groups to join view a friends groups by visiting their steam community profile or create a group of your own fixed an interaction between defuse kits and water that would sometimes cause a defuse kit to be unable to be picked up fixed miscellaneous vulnerabilities thanks geekpwn players who get kicked from a lobby cannot rejoin for three minutes fixed a bug where some potted plants were playing incorrect collision sounds fixed a bug where some ui sounds would incorrectly spatialize immediately after player death dust ii removed barrels outside of doors leading into b site blocked visibility through some props around a site fixed some spots where c4 could get stuck fixed some minor graphical bugs train fixed ladders on train cars so they no longer move the player view when attaching added more accurate collision for various models blocked visibility under some trains from far angles blocked grenades entering small crawlspace near popdog ladder raised pipes in tunnels near ivy fixed a spot in t spawn where weapons could not be retrieved fixed some spots where c4 could get stuck removed that bump in t stairs you know the one fixed some surfaces playing the wrong footstep sounds some graphical tweaks shorttrain updated with new content and lighting shortdust updated navigation mesh,2016-11-28,csgo
39,halloween has come to a close dropped weapons and other grenades no longer prevent flashbangs from blinding players fixed a bug where killer replay sounds would sometimes continue playing after the killer replay had finished players will now measure regular udp pings to matchmaking regions where sdr is not yet enabled brazil eu north eu west fixed a problem where players experienced high ping because region selection was based on sdr ping but sdr was not used in the region for gameplay fixed a bug where the game would sometimes fail to start with the message only one instance of the game can be running at one time,2016-11-01,csgo
40,in game friends requests will show no more than 4 friend requests sorted by steam profile level fixed a case when users could fail to reconnect to a competitive match after restarting their game while experiencing issues logging in to steam max acceptable matchmaking ping setting can now be set as low as 25 ms if there are official servers satisfying your ping setting then official matchmaking will always put you in a match hosted on those servers if there are no official servers near you satisfying your ping setting then official matchmaking will put you in a match hosted on the next nearest official server latency to which may exceed your ping setting in this case the player will also see the best possible matchmaking ping while searching along with an indicator if datacenters are offline for maintenance in their region long clan tags containing unicode characters in the end will now correctly truncate without showing a corrupt last character sound effects emitted by killed player now correctly spatialize in killer replay reduced reverb on weapons and footsteps to fix misleading sound positioning fixed the missing graffiti effect for ripip graffiti when sprayed on horizontal surfaces added lag compensation for teammates when playing with teammates are enemies game rules fixed a vgui bug where an additional character after selection was always copied to clipboard thanks justin,2016-10-28,csgo
41,happy halloween fixed a regression where players did not fade to black after death with mp forcecamera 1 added ability to accept friend requests from csgo main menu and to send friend requests from match scoreboard fixed a case where player would sometimes not be placed in competitive matchmaking queue correctly on the very first search after starting up csgo which required stopping search and searching again thanks trip for helping with diagnosing the issue fixed some instances where incorrect or missing reverb was being applied to sounds latency to official datacenters is now always measured using steam datagram relay a temporary griefing conviction assigned by overwatch will now be elevated to a permanent conviction if the suspect had a previous temporary griefing conviction cache minor bugfixes inferno added a second set of steps up on a site made wallbangs through windows near a site balcony a site hutquad and t apartments towards bridge more consistent pipes in underpass can now be shot through pushed back stairs to graveyard to create more room for defending player made shader for fountain water cheaper to render on low settings prevent name peeking through gap between pillar and wall in hutquad fixed various graphical and movement bugs moved back grenade clip in open door on a site,2016-10-25,csgo
